"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.284	-37.84179688	11.59667969	-100.0976563	-5.310058594	-0.1831054688	-0.9155273438	0	330.2819824	0.4516601563	-0.06713867188	0.927734375
0.286	-34.1796875	9.765625	-98.87695313	-5.676269531	-0.1831054688	0.5493164063	0	330.2819824	0.5462646484	0.1159667969	0.9979248047
0.288	-25.63476563	14.03808594	-97.65625	-6.042480469	-0.1831054688	2.014160156	0	330.2819824	0.48828125	0.1678466797	0.9735107422
0.29	-17.08984375	20.14160156	-98.87695313	-5.126953125	-0.3662109375	3.295898438	0	330.2819824	0.3479003906	0.09155273438	0.8911132813
0.292	-4.8828125	26.85546875	-107.421875	-4.028320313	-0.3662109375	4.39453125	0	330.2819824	0.1770019531	-0.003051757813	0.9033203125
0.294	3.662109375	32.34863281	-117.1875	-2.9296875	-0.3662109375	4.577636719	0	330.2819824	0.048828125	-0.1220703125	0.927734375
0.296	2.44140625	26.24511719	-119.6289063	-2.197265625	-0.3662109375	4.211425781	0	330.2819824	0.08239746094	-0.1556396484	0.9552001953
0.298	-6.103515625	6.103515625	-115.9667969	-2.014160156	-0.3662109375	3.112792969	0	330.2819824	0.2258300781	0.02746582031	1.040649414
0.3	-17.08984375	-3.662109375	-108.6425781	-2.563476563	-0.1831054688	1.647949219	0	330.2819824	0.3295898438	0.1403808594	1.071166992
0.302	-24.4140625	-5.493164063	-95.21484375	-3.845214844	0	0.1831054688	0	330.2819824	0.4028320313	0.09460449219	0.9857177734
0.304	-34.1796875	-5.493164063	-85.44921875	-4.577636719	-0.3662109375	-1.281738281	0	330.2819824	0.3814697266	0.048828125	0.8026123047
0.306	-41.50390625	-4.272460938	-79.34570313	-4.577636719	-0.1831054688	-2.197265625	0	330.2819824	0.2899169922	0.04577636719	0.6256103516
0.308	-45.16601563	-6.103515625	-84.22851563	-4.577636719	0	-2.9296875	0	330.2819824	0.2502441406	0.05187988281	0.5798339844
0.31	-40.28320313	-6.103515625	-104.9804688	-4.028320313	0	-3.295898438	0	330.2819824	0.2807617188	0.1647949219	0.7751464844
0.312	-28.07617188	10.37597656	-124.5117188	-4.39453125	0	-2.9296875	0	330.2819824	0.2838134766	0.01525878906	1.141357422
0.314	-20.75195313	21.36230469	-133.0566406	-4.211425781	-0.1831054688	-2.380371094	0	330.2819824	0.2777099609	-0.1068115234	1.330566406
0.316	-21.97265625	15.86914063	-133.0566406	-3.662109375	-0.1831054688	-1.831054688	0	330.2819824	0.2655029297	0.04272460938	1.29699707
0.318	-26.85546875	20.14160156	-125.7324219	-4.211425781	-0.1831054688	-1.46484375	0	330.2819824	0.2258300781	0.048828125	1.159667969
0.32	-28.07617188	36.62109375	-117.1875	-5.126953125	-0.1831054688	-1.281738281	0	330.2819824	0.1708984375	-0.1434326172	0.9918212891
0.322	-26.85546875	45.16601563	-109.8632813	-5.493164063	-0.1831054688	-0.9155273438	0	330.2819824	0.1953125	-0.2838134766	0.9399414063
0.324	-28.07617188	36.01074219	-102.5390625	-5.676269531	-0.3662109375	-0.3662109375	0	330.2819824	0.3295898438	-0.1861572266	0.9155273438
0.326	-26.85546875	22.58300781	-98.87695313	-4.943847656	-0.1831054688	0.732421875	0	330.2819824	0.439453125	-0.02136230469	0.9002685547
0.328	-19.53125	6.713867188	-101.3183594	-4.028320313	-0.1831054688	2.563476563	0	330.2819824	0.4730224609	0.1586914063	0.9124755859
0.33	-8.544921875	-1.220703125	-106.2011719	-2.9296875	-0.3662109375	3.662109375	0	330.2819824	0.390625	0.2197265625	0.9307861328
